Unnamed: 0,Name,Transaction.Date,Owner,Ticker,Asset.Name,Asset.Type,Type,Amount,Comment,Sector,Committee,Party
1, Sheldon Whitehouse,11/25/2014,Self,M,"Macy's, Inc. (NYSE)",Stock,Purchase,1001.0,--,Consumer Cyclical,"('STRN', 'SAGR')",Democrat
2, Sheldon Whitehouse,12/18/2014,Self,BEAV,B/E Aerospace Inc. (NASDAQ),Stock,Sale (Full),15001.0,--,Unknown,"('STRN', 'SAGR')",Democrat
3, Sheldon Whitehouse,12/18/2014,Self,KORS,Michael Kors Holdings Limited (NYSE),Stock,Sale (Partial),1001.0,--,Unknown,"('STRN', 'SAGR')",Democrat
4, Sheldon Whitehouse,12/18/2014,Self,T,"AT&T, Inc. (NYSE)",Stock,Purchase,1001.0,--,Communication Services,"('STRN', 'SAGR')",Democrat
5, Sheldon Whitehouse,12/18/2014,Self,KEYS,"Keysight Technologies, Inc. (NYSE)",Stock,Sale (Full),1001.0,Agilent Tech common stock completed a spinoff on 10/22/14 to Keysight Tech,Technology,"('STRN', 'SAGR')",Democrat
6, Sheldon Whitehouse,12/18/2014,Self,ABBV,AbbVie Inc. (NYSE),Stock,Purchase,1001.0,--,Healthcare,"('STRN', 'SAGR')",Democrat
7, Sheldon Whitehouse,12/18/2014,Self,SSYS,Stratasys Ltd. (NASDAQ),Stock,Sale (Full),1001.0,--,Technology,"('STRN', 'SAGR')",Democrat
8, Sheldon Whitehouse,12/18/2014,Self,HYH,"Halyard Health, Inc. (NYSE)",Stock,Sale (Full),1001.0,KMB completed a spinoff of its health care business business now known as HYH on 11/01/14,Unknown,"('STRN', 'SAGR')",Democrat
9, Sheldon Whitehouse,12/18/2014,Self,AMGN,Amgen Inc. (NASDAQ),Stock,Purchase,15001.0,--,Healthcare,"('STRN', 'SAGR')",Democrat
10, Sheldon Whitehouse,11/25/2014,Joint,PRU,"Prudential Financial, Inc. (NYSE)",Stock,Purchase,1001.0,--,Financial Services,"('STRN', 'SAGR')",Democrat
11, Sheldon Whitehouse,11/25/2014,Joint,PCAR,PACCAR Inc. (NASDAQ),Stock,Purchase,1001.0,--,Industrials,"('STRN', 'SAGR')",Democrat
12, Sheldon Whitehouse,12/18/2014,Joint,CMRE,Costamare Inc. (NYSE),Stock,Purchase,1001.0,--,Industrials,"('STRN', 'SAGR')",Democrat
13, Sheldon Whitehouse,11/25/2014,Child,IBM,International Business Machines Corporation (NYSE),Stock,Sale (Partial),1001.0,--,Technology,"('STRN', 'SAGR')",Democrat
14, Sheldon Whitehouse,11/25/2014,Child,PCAR,PACCAR Inc. (NASDAQ),Stock,Purchase,1001.0,--,Industrials,"('STRN', 'SAGR')",Democrat
15, Sheldon Whitehouse,12/18/2014,Child,KORS,Michael Kors Holdings Limited (NYSE),Stock,Sale (Partial),1001.0,--,Unknown,"('STRN', 'SAGR')",Democrat
16, Sheldon Whitehouse,12/18/2014,Child,T,"AT&T, Inc. (NYSE)",Stock,Purchase,1001.0,--,Communication Services,"('STRN', 'SAGR')",Democrat
17, Sheldon Whitehouse,12/18/2014,Child,ORCL,Oracle Corporation (NYSE),Stock,Purchase,1001.0,--,Technology,"('STRN', 'SAGR')",Democrat
18, Sheldon Whitehouse,12/18/2014,Spouse,TJX,"The TJX Companies, Inc. (NYSE)",Stock,Purchase,1001.0,--,Consumer Cyclical,"('STRN', 'SAGR')",Democrat
6295, A. Mitchell McConnell Jr.,3/5/2019,Spouse,WFC,Wells Fargo & Company,Stock,Purchase,1001.0,Dividend Reinvestment,Financial Services,"('SAGR', 'SAPA')",Republican
6296, A. Mitchell McConnell Jr.,9/7/2017,Spouse,WFC,Wells Fargo & Company,Stock,Purchase,1001.0,Dividend Reinvestment,Financial Services,"('SAGR', 'SAPA')",Republican
21, Sheldon Whitehouse,4/7/2021,Joint,--,"GENERAL ELECTRIC CO FIXED TO 012021
Rate/Coupon: 5.0%
Matures: 04/07/2061",Corporate Bond,Sale (Full),15001.0,Callable 1/21/21,Unknown,"('STRN', 'SAGR')",Democrat
6297, A. Mitchell McConnell Jr.,12/5/2017,Spouse,WFC,Wells Fargo & Company,Stock,Purchase,1001.0,Dividend Reinvestment,Financial Services,"('SAGR', 'SAPA')",Republican
6298, A. Mitchell McConnell Jr.,3/5/2018,Spouse,WFC,Wells Fargo & Company,Stock,Purchase,1001.0,Dividend Reinvestment,Financial Services,"('SAGR', 'SAPA')",Republican
6299, A. Mitchell McConnell Jr.,3/3/2021,Spouse,WFC,Wells Fargo & Company,Stock,Purchase,1001.0,Dividend Reinvestment,Financial Services,"('SAGR', 'SAPA')",Republican
6300, A. Mitchell McConnell Jr.,9/6/2018,Spouse,WFC,Wells Fargo & Company,Stock,Purchase,1001.0,Dividend Reinvestment,Financial Services,"('SAGR', 'SAPA')",Republican
